player_id,pxi_score,pxi_tier,losing_streak,matches_this_week,ragequit_rate_historical,win_rate_last10,recency_days,assignment,primary_metric_value,early_period_outcome,late_period_outcome,guardrail_ragequit,guardrail_completion,segment_pxi_tier,segment_player_type,segment_play_style,experiment_id
P7579_H,52.43,At Risk,5,1,0.117088468681403,0.4736889778407049,8,1,0.3559307782314436,0.3408291895565155,0.29610555759095003,0.16207109687751456,0.8945608873874814,At Risk,Veteran,Ranked,EXP-001
P5441_A,44.06,At Risk,5,4,0.2852052946881973,0.3260038142036222,18,1,0.34372386208862404,0.3453986822478324,0.335468727157002,0.15644420464598258,0.9687599789010682,At Risk,New,Casual,EXP-001
P4061_H,45.71,At Risk,3,2,0.2968859033974841,0.7253810849139655,27,1,0.36620183724194827,0.4304016899723615,0.33215840762156434,0.18626473054749434,0.9498270274797551,At Risk,New,Casual,EXP-001
P4947_A,43.24,At Risk,0,1,0.2188374481319965,0.4660710528436139,11,1,0.4262301855536545,0.43543613462050895,0.2483230843850202,0.15601196348351928,0.9030005756951076,At Risk,Veteran,Casual,EXP-001
P3874_A,44.31,At Risk,0,1,0.2376641115066129,0.737859560865012,21,0,0.20478499838381664,0.31234221606291035,0.3172570977531476,0.11712667395950511,0.9589227565447956,At Risk,Veteran,Ranked,EXP-001
P2826_H,46.06,At Risk,4,5,0.2802200263611553,0.681357173459624,3,1,0.41793904847162644,0.3289749095248252,0.44509482139497414,0.15912176450821067,0.9730167949830412,At Risk,Veteran,Ranked,EXP-001
P9120_A,54.32,At Risk,0,1,0.279458799535927,0.6085008714798734,17,0,0.3376203150558488,0.38675549342396714,0.35477662397415916,0.1705628070455716,0.9572777400764314,At Risk,Veteran,Casual,EXP-001
P9436_H,50.96,At Risk,0,1,0.0591586645657798,0.3303359397694813,25,1,0.3297367386017714,0.30116938517536684,0.24418000654441047,0.16789101024256067,0.9616965527411923,At Risk,New,Ranked,EXP-001
P258_A,40.65,At Risk,3,1,0.0373446984214567,0.5277129335388465,0,1,0.23481346894457175,0.3890891473651315,0.2284676280662964,0.21039049358618367,0.9417664777532188,At Risk,Veteran,Casual,EXP-001
P3460_H,47.19,At Risk,0,1,0.0505476672795688,0.7569643764991305,19,0,0.3746783452614272,0.3304158040960458,0.4616917268002455,0.167729148814217,0.9127722048955795,At Risk,New,Casual,EXP-001
P593_A,45.59,At Risk,1,1,0.0101300803659415,0.3332000044337918,30,0,0.15618332195777535,0.26439204652737736,0.3302351061318908,0.19761846926398396,0.9638372804467412,At Risk,New,Ranked,EXP-001
P8236_A,51.36,At Risk,1,2,0.2281472070304672,0.5911224300028086,3,1,0.3935647114417796,0.2733329302053145,0.29650897559294886,0.17962034800638277,0.9849950783889259,At Risk,New,Ranked,EXP-001
P2091_A,53.19,At Risk,0,1,0.1027849569236468,0.2190690922562277,30,0,0.22524127292307294,0.4453846963327296,0.3164780168092145,0.17915390548654803,0.9725916170845491,At Risk,New,Casual,EXP-001
P3074_H,36.52,At Risk,4,1,0.1014462544459862,0.4793659416812406,1,0,0.34100399765504885,0.325284031212167,0.22634964920163186,0.16329239422303926,0.910242483407973,At Risk,Veteran,Ranked,EXP-001
P5616_A,46.14,At Risk,0,1,0.2172002775310155,0.2076298439870553,4,0,0.32807425408413876,0.4598625216329835,0.44358982669842034,0.17882434696838465,0.9197021118557813,At Risk,New,Casual,EXP-001
P8810_H,47.21,At Risk,0,2,0.1098668428421991,0.4259616322003362,15,1,0.4325984072323119,0.3065286440724533,0.3155603349748064,0.16469807746205165,0.9330806451640532,At Risk,Veteran,Ranked,EXP-001
P751_A,53.84,At Risk,0,1,0.1476940718886509,0.3696779604165132,25,1,0.33161872784085966,0.36681126956474885,0.4474183744276078,0.1834004862850914,0.9181404909743971,At Risk,New,Ranked,EXP-001
P1324_A,41.04,At Risk,3,1,0.0825500698371599,0.3609959088482184,9,0,0.28500902177018966,0.5162114865540663,0.34086871341210395,0.17527500734752624,0.9508837983911207,At Risk,New,Ranked,EXP-001
P2910_H,52.75,At Risk,0,2,0.1267480145966092,0.7333081046940357,4,0,0.29905545807175693,0.2578017328247204,0.44407194489517615,0.161107441336168,0.9578683161036105,At Risk,Veteran,Casual,EXP-001
P1146_A,54.19,At Risk,0,2,0.0998907325172918,0.7006572371405695,11,1,0.4403389193797243,0.20285369395750677,0.3642264179783271,0.1998378867940119,0.9213949343351526,At Risk,Veteran,Ranked,EXP-001
P1435_A,49.9,At Risk,0,1,0.2947083140732696,0.2397542790556171,19,1,0.385168642991649,0.4413656008334138,0.4089071264488938,0.1885368096004285,0.9655425691855105,At Risk,Veteran,Ranked,EXP-001
P8300_H,49.6,At Risk,2,4,0.0603860737479794,0.7226581192546389,12,1,0.31611631438391524,0.2830719980060588,0.39886006915201644,0.17103874531715502,0.9620220788804003,At Risk,New,Casual,EXP-001
P6857_H,50.67,At Risk,0,1,0.2488852212845875,0.5942133033580831,22,1,0.327290163144658,0.34344909332844314,0.39168450086227263,0.1829098609407062,0.9390368175031258,At Risk,New,Casual,EXP-001
P7855_A,54.41,At Risk,0,2,0.0539630017565637,0.5026658706889247,16,1,0.22761843591515007,0.3011147260371763,0.37106029234098503,0.17832354956996072,0.9465495602803202,At Risk,Veteran,Ranked,EXP-001
P7893_A,44.99,At Risk,1,2,0.0889632867681045,0.5573482668497458,6,1,0.37409671764378044,0.3650853922935532,0.3275594813629427,0.16264818125473451,0.9110039764869393,At Risk,Veteran,Casual,EXP-001
P4911_H,53.91,At Risk,3,2,0.0568145510861908,0.2902051060091652,12,0,0.20518980349360966,0.26580483808178795,0.48046605839880724,0.18140992458042327,0.9433547568742585,At Risk,New,Ranked,EXP-001
P9600_A,42.89,At Risk,0,1,0.0432520512569188,0.3124971505644869,19,0,0.3933095552910757,0.3235224874175404,0.2690704198163171,0.1675797649038525,0.9501476994826065,At Risk,Veteran,Casual,EXP-001
